"Povpreène meseène plaèe in indeksi povpreènih meseènih plaè po dejavnostih [SKD 2008], Slovenija, meseèno"

"SKD DEJAVNOST","MESEC","Bruto plaèa Plaèa za zadnjih 12 mesecev [EUR]","Neto plaèa Plaèa za zadnjih 12 mesecev [EUR]"
"A01 Kmetijska proizvodnja in lov ter z njima povezane storitve","2014M12",1233.59,833.25
"A01 Kmetijska proizvodnja in lov ter z njima povezane storitve","2015M12",1227.14,830.22
"A01 Kmetijska proizvodnja in lov ter z njima povezane storitve","2016M12",1226.50,829.39
"A01 Kmetijska proizvodnja in lov ter z njima povezane storitve","2017M12",1247.87,846.48
"A01 Kmetijska proizvodnja in lov ter z njima povezane storitve","2018M12",1313.53,886.37
"A02 Gozdarstvo","2014M12",1455.94,966.42
"A02 Gozdarstvo","2015M12",1474.17,978.69
"A02 Gozdarstvo","2016M12",1462.15,969.40
"A02 Gozdarstvo","2017M12",1443.78,964.06
"A02 Gozdarstvo","2018M12",1533.65,1018.23
"A03 Ribištvo in gojenje vodnih organizmov","2014M12",1166.63,792.47
"A03 Ribištvo in gojenje vodnih organizmov","2015M12",1145.09,779.59
"A03 Ribištvo in gojenje vodnih organizmov","2016M12",1163.53,790.11
"A03 Ribištvo in gojenje vodnih organizmov","2017M12",1227.35,831.96
"A03 Ribištvo in gojenje vodnih organizmov","2018M12",1262.63,852.32
"B05 Pridobivanje premoga","2014M12",2451.90,1555.03
"B05 Pridobivanje premoga","2015M12",2247.53,1430.10
"B05 Pridobivanje premoga","2016M12",2318.41,1476.29
"B05 Pridobivanje premoga","2017M12",2357.75,1501.22
"B05 Pridobivanje premoga","2018M12",2566.11,1627.29
"B06 Pridobivanje surove nafte in zemeljskega plina","2014M12",-,-
"B06 Pridobivanje surove nafte in zemeljskega plina","2015M12",-,-
"B06 Pridobivanje surove nafte in zemeljskega plina","2016M12",-,-
"B06 Pridobivanje surove nafte in zemeljskega plina","2017M12",-,-
"B06 Pridobivanje surove nafte in zemeljskega plina","2018M12",-,-
"B07 Pridobivanje rud","2014M12",z,z
"B07 Pridobivanje rud","2015M12",z,z
"B07 Pridobivanje rud","2016M12",z,z
"B07 Pridobivanje rud","2017M12",z,z
"B07 Pridobivanje rud","2018M12",z,z
"B08 Pridobivanje rudnin in kamnin","2014M12",1621.46,1046.65
"B08 Pridobivanje rudnin in kamnin","2015M12",1653.92,1061.30
"B08 Pridobivanje rudnin in kamnin","2016M12",1699.98,1087.03
"B08 Pridobivanje rudnin in kamnin","2017M12",1722.73,1108.61
"B08 Pridobivanje rudnin in kamnin","2018M12",1847.87,1178.89
"B09 Storitve za rudarstvo","2014M12",1682.88,1071.80
"B09 Storitve za rudarstvo","2015M12",z,z
"B09 Storitve za rudarstvo","2016M12",z,z
"B09 Storitve za rudarstvo","2017M12",z,z
"B09 Storitve za rudarstvo","2018M12",z,z
"C10 Proizvodnja živil","2014M12",1227.41,829.43
"C10 Proizvodnja živil","2015M12",1228.83,828.44
"C10 Proizvodnja živil","2016M12",1248.32,839.66
"C10 Proizvodnja živil","2017M12",1292.35,870.95
"C10 Proizvodnja živil","2018M12",1361.40,909.52
"C11 Proizvodnja pijaè","2014M12",1650.71,1072.70
"C11 Proizvodnja pijaè","2015M12",1693.48,1102.70
"C11 Proizvodnja pijaè","2016M12",1760.82,1134.10
"C11 Proizvodnja pijaè","2017M12",1846.30,1198.84
"C11 Proizvodnja pijaè","2018M12",1845.55,1194.25
"C12 Proizvodnja tobaènih izdelkov","2014M12",-,-
"C12 Proizvodnja tobaènih izdelkov","2015M12",-,-
"C12 Proizvodnja tobaènih izdelkov","2016M12",-,-
"C12 Proizvodnja tobaènih izdelkov","2017M12",z,z
"C12 Proizvodnja tobaènih izdelkov","2018M12",z,z
"C13 Proizvodnja tekstilij","2014M12",1257.70,843.18
"C13 Proizvodnja tekstilij","2015M12",1311.42,872.87
"C13 Proizvodnja tekstilij","2016M12",1374.23,911.05
"C13 Proizvodnja tekstilij","2017M12",1428.25,953.07
"C13 Proizvodnja tekstilij","2018M12",1479.19,977.92
"C14 Proizvodnja oblaèil","2014M12",967.18,677.33
"C14 Proizvodnja oblaèil","2015M12",995.22,694.05
"C14 Proizvodnja oblaèil","2016M12",1014.16,705.52
"C14 Proizvodnja oblaèil","2017M12",1074.58,742.53
"C14 Proizvodnja oblaèil","2018M12",1125.44,774.03
"C15 Proizvodnja usnja, usnjenih in sorodnih izdelkov","2014M12",1020.33,710.97
"C15 Proizvodnja usnja, usnjenih in sorodnih izdelkov","2015M12",1007.96,702.40
"C15 Proizvodnja usnja, usnjenih in sorodnih izdelkov","2016M12",1000.92,697.58
"C15 Proizvodnja usnja, usnjenih in sorodnih izdelkov","2017M12",1032.95,717.39
"C15 Proizvodnja usnja, usnjenih in sorodnih izdelkov","2018M12",1081.25,747.57
"C16 Obdelava in predelava lesa, proizvodnja izdelkov iz lesa, plute, slame in protja, razen pohištva","2014M12",1246.70,839.06
"C16 Obdelava in predelava lesa, proizvodnja izdelkov iz lesa, plute, slame in protja, razen pohištva","2015M12",1272.01,852.11
"C16 Obdelava in predelava lesa, proizvodnja izdelkov iz lesa, plute, slame in protja, razen pohištva","2016M12",1299.98,871.00
"C16 Obdelava in predelava lesa, proizvodnja izdelkov iz lesa, plute, slame in protja, razen pohištva","2017M12",1316.79,887.39
"C16 Obdelava in predelava lesa, proizvodnja izdelkov iz lesa, plute, slame in protja, razen pohištva","2018M12",1378.97,925.15
"C17 Proizvodnja papirja in izdelkov iz papirja","2014M12",1480.30,970.73
"C17 Proizvodnja papirja in izdelkov iz papirja","2015M12",1514.45,984.60
"C17 Proizvodnja papirja in izdelkov iz papirja","2016M12",1559.04,1016.50
"C17 Proizvodnja papirja in izdelkov iz papirja","2017M12",1584.10,1040.16
"C17 Proizvodnja papirja in izdelkov iz papirja","2018M12",1641.18,1074.61
"C18 Tiskarstvo in razmnoževanje posnetih nosilcev zapisa","2014M12",1375.89,918.01
"C18 Tiskarstvo in razmnoževanje posnetih nosilcev zapisa","2015M12",1392.97,924.29
"C18 Tiskarstvo in razmnoževanje posnetih nosilcev zapisa","2016M12",1401.52,932.05
"C18 Tiskarstvo in razmnoževanje posnetih nosilcev zapisa","2017M12",1440.82,960.25
"C18 Tiskarstvo in razmnoževanje posnetih nosilcev zapisa","2018M12",1485.54,985.07
"C19 Proizvodnja koksa in naftnih derivatov","2014M12",1627.01,1035.74
"C19 Proizvodnja koksa in naftnih derivatov","2015M12",1219.97,836.05
"C19 Proizvodnja koksa in naftnih derivatov","2016M12",z,z
"C19 Proizvodnja koksa in naftnih derivatov","2017M12",z,z
"C19 Proizvodnja koksa in naftnih derivatov","2018M12",z,z
"C20 Proizvodnja kemikalij, kemiènih izdelkov","2014M12",1740.74,1120.13
"C20 Proizvodnja kemikalij, kemiènih izdelkov","2015M12",1766.08,1129.46
"C20 Proizvodnja kemikalij, kemiènih izdelkov","2016M12",1785.91,1142.11
"C20 Proizvodnja kemikalij, kemiènih izdelkov","2017M12",1833.17,1188.54
"C20 Proizvodnja kemikalij, kemiènih izdelkov","2018M12",1892.02,1218.95
"C21 Proizvodnja farmacevtskih surovin in preparatov","2014M12",3063.04,1821.83
"C21 Proizvodnja farmacevtskih surovin in preparatov","2015M12",3082.26,1830.66
"C21 Proizvodnja farmacevtskih surovin in preparatov","2016M12",3110.05,1855.31
"C21 Proizvodnja farmacevtskih surovin in preparatov","2017M12",3112.49,1905.71
"C21 Proizvodnja farmacevtskih surovin in preparatov","2018M12",3209.16,1958.48
"C22 Proizvodnja izdelkov iz gume in plastiènih mas","2014M12",1464.88,966.39
"C22 Proizvodnja izdelkov iz gume in plastiènih mas","2015M12",1495.85,984.45
"C22 Proizvodnja izdelkov iz gume in plastiènih mas","2016M12",1518.80,998.40
"C22 Proizvodnja izdelkov iz gume in plastiènih mas","2017M12",1555.01,1025.63
"C22 Proizvodnja izdelkov iz gume in plastiènih mas","2018M12",1622.58,1064.94
"C23 Proizvodnja nekovinskih mineralnih izdelkov","2014M12",1512.93,988.68
"C23 Proizvodnja nekovinskih mineralnih izdelkov","2015M12",1547.73,1009.06
"C23 Proizvodnja nekovinskih mineralnih izdelkov","2016M12",1561.04,1017.27
"C23 Proizvodnja nekovinskih mineralnih izdelkov","2017M12",1619.80,1063.46
"C23 Proizvodnja nekovinskih mineralnih izdelkov","2018M12",1681.70,1102.28
"C24 Proizvodnja kovin","2014M12",1549.54,1015.39
"C24 Proizvodnja kovin","2015M12",1608.15,1049.69
"C24 Proizvodnja kovin","2016M12",1623.32,1057.69
"C24 Proizvodnja kovin","2017M12",1701.22,1113.18
"C24 Proizvodnja kovin","2018M12",1770.23,1152.80
"C25 Proizvodnja kovinskih izdelkov, razen strojev in naprav","2014M12",1385.61,920.99
"C25 Proizvodnja kovinskih izdelkov, razen strojev in naprav","2015M12",1412.74,936.16
"C25 Proizvodnja kovinskih izdelkov, razen strojev in naprav","2016M12",1442.69,951.63
"C25 Proizvodnja kovinskih izdelkov, razen strojev in naprav","2017M12",1497.44,991.04
"C25 Proizvodnja kovinskih izdelkov, razen strojev in naprav","2018M12",1552.35,1021.89
"C26 Proizvodnja raèunalnikov, elektronskih in optiènih izdelkov","2014M12",1394.56,920.93
"C26 Proizvodnja raèunalnikov, elektronskih in optiènih izdelkov","2015M12",1448.23,950.78
"C26 Proizvodnja raèunalnikov, elektronskih in optiènih izdelkov","2016M12",1481.68,974.03
"C26 Proizvodnja raèunalnikov, elektronskih in optiènih izdelkov","2017M12",1647.56,1077.57
"C26 Proizvodnja raèunalnikov, elektronskih in optiènih izdelkov","2018M12",1802.00,1167.58
"C27 Proizvodnja elektriènih naprav","2014M12",1390.81,918.59
"C27 Proizvodnja elektriènih naprav","2015M12",1416.46,933.46
"C27 Proizvodnja elektriènih naprav","2016M12",1471.25,963.95
"C27 Proizvodnja elektriènih naprav","2017M12",1525.29,1008.60
"C27 Proizvodnja elektriènih naprav","2018M12",1571.20,1035.43
"C28 Proizvodnja drugih strojev in naprav","2014M12",1580.36,1033.05
"C28 Proizvodnja drugih strojev in naprav","2015M12",1629.00,1059.12
"C28 Proizvodnja drugih strojev in naprav","2016M12",1670.97,1083.28
"C28 Proizvodnja drugih strojev in naprav","2017M12",1737.36,1130.50
"C28 Proizvodnja drugih strojev in naprav","2018M12",1827.26,1182.95
"C29 Proizvodnja motornih vozil, prikolic in polprikolic","2014M12",1464.36,968.27
"C29 Proizvodnja motornih vozil, prikolic in polprikolic","2015M12",1490.74,982.84
"C29 Proizvodnja motornih vozil, prikolic in polprikolic","2016M12",1537.40,1008.94
"C29 Proizvodnja motornih vozil, prikolic in polprikolic","2017M12",1549.82,1031.18
"C29 Proizvodnja motornih vozil, prikolic in polprikolic","2018M12",1570.31,1039.06
"C30 Proizvodnja drugih vozil in plovil","2014M12",1573.92,1020.79
"C30 Proizvodnja drugih vozil in plovil","2015M12",1526.68,1006.13
"C30 Proizvodnja drugih vozil in plovil","2016M12",1536.63,1010.78
"C30 Proizvodnja drugih vozil in plovil","2017M12",1574.37,1037.46
"C30 Proizvodnja drugih vozil in plovil","2018M12",1644.95,1074.66
"C31 Proizvodnja pohištva","2014M12",1166.83,798.53
"C31 Proizvodnja pohištva","2015M12",1194.67,815.48
"C31 Proizvodnja pohištva","2016M12",1206.88,821.15
"C31 Proizvodnja pohištva","2017M12",1268.41,860.82
"C31 Proizvodnja pohištva","2018M12",1341.46,904.62
"C32 Druge raznovrstne predelovalne dejavnosti","2014M12",1340.38,895.14
"C32 Druge raznovrstne predelovalne dejavnosti","2015M12",1368.03,909.55
"C32 Druge raznovrstne predelovalne dejavnosti","2016M12",1384.01,917.23
"C32 Druge raznovrstne predelovalne dejavnosti","2017M12",1388.70,925.08
"C32 Druge raznovrstne predelovalne dejavnosti","2018M12",1432.47,951.00
"C33 Popravila in montaža strojev in naprav","2014M12",1609.94,1056.34
"C33 Popravila in montaža strojev in naprav","2015M12",1669.06,1089.38
"C33 Popravila in montaža strojev in naprav","2016M12",1713.29,1109.54
"C33 Popravila in montaža strojev in naprav","2017M12",1783.93,1160.56
"C33 Popravila in montaža strojev in naprav","2018M12",1826.68,1183.60
"D35 Oskrba z elektrièno energijo, plinom in paro","2014M12",2340.28,1440.83
"D35 Oskrba z elektrièno energijo, plinom in paro","2015M12",2317.23,1438.10
"D35 Oskrba z elektrièno energijo, plinom in paro","2016M12",2347.14,1463.15
"D35 Oskrba z elektrièno energijo, plinom in paro","2017M12",2448.72,1541.52
"D35 Oskrba z elektrièno energijo, plinom in paro","2018M12",2519.16,1581.90
"E36 Zbiranje, preèišèevanje in distribucija vode","2014M12",1572.36,1036.29
"E36 Zbiranje, preèišèevanje in distribucija vode","2015M12",1595.71,1048.88
"E36 Zbiranje, preèišèevanje in distribucija vode","2016M12",1631.79,1072.49
"E36 Zbiranje, preèišèevanje in distribucija vode","2017M12",1669.49,1100.04
"E36 Zbiranje, preèišèevanje in distribucija vode","2018M12",1725.55,1133.83
"E37 Ravnanje z odplakami","2014M12",1480.89,987.12
"E37 Ravnanje z odplakami","2015M12",1511.41,1003.49
"E37 Ravnanje z odplakami","2016M12",1534.00,1017.99
"E37 Ravnanje z odplakami","2017M12",1550.62,1032.42
"E37 Ravnanje z odplakami","2018M12",1610.04,1072.07
"E38 Zbiranje in odvoz odpadkov ter ravnanje z njimi, pridobivanje sekundarnih surovin","2014M12",1419.91,940.22
"E38 Zbiranje in odvoz odpadkov ter ravnanje z njimi, pridobivanje sekundarnih surovin","2015M12",1439.47,951.59
"E38 Zbiranje in odvoz odpadkov ter ravnanje z njimi, pridobivanje sekundarnih surovin","2016M12",1464.11,965.56
"E38 Zbiranje in odvoz odpadkov ter ravnanje z njimi, pridobivanje sekundarnih surovin","2017M12",1535.80,1016.94
"E38 Zbiranje in odvoz odpadkov ter ravnanje z njimi, pridobivanje sekundarnih surovin","2018M12",1580.47,1040.63
"E39 Saniranje okolja in drugo ravnanje z odpadki","2014M12",1304.51,876.85
"E39 Saniranje okolja in drugo ravnanje z odpadki","2015M12",1285.60,864.33
"E39 Saniranje okolja in drugo ravnanje z odpadki","2016M12",1296.89,867.52
"E39 Saniranje okolja in drugo ravnanje z odpadki","2017M12",1224.37,824.28
"E39 Saniranje okolja in drugo ravnanje z odpadki","2018M12",1240.44,834.43
"F41 Gradnja stavb","2014M12",1064.30,727.63
"F41 Gradnja stavb","2015M12",1053.99,719.10
"F41 Gradnja stavb","2016M12",1089.48,742.65
"F41 Gradnja stavb","2017M12",1117.90,760.48
"F41 Gradnja stavb","2018M12",1180.26,795.64
"F42 Gradnja inženirskih objektov","2014M12",1363.84,909.26
"F42 Gradnja inženirskih objektov","2015M12",1388.98,924.26
"F42 Gradnja inženirskih objektov","2016M12",1396.79,929.01
"F42 Gradnja inženirskih objektov","2017M12",1470.68,977.23
"F42 Gradnja inženirskih objektov","2018M12",1566.27,1029.82
"F43 Specializirana gradbena dela","2014M12",1172.48,793.17
"F43 Specializirana gradbena dela","2015M12",1159.83,785.11
"F43 Specializirana gradbena dela","2016M12",1176.40,795.44
"F43 Specializirana gradbena dela","2017M12",1195.95,810.34
"F43 Specializirana gradbena dela","2018M12",1233.61,832.21
"G45 Trgovina z motornimi vozili in popravila motornih vozil","2014M12",1483.71,966.12
"G45 Trgovina z motornimi vozili in popravila motornih vozil","2015M12",1498.30,974.28
"G45 Trgovina z motornimi vozili in popravila motornih vozil","2016M12",1515.26,985.22
"G45 Trgovina z motornimi vozili in popravila motornih vozil","2017M12",1561.11,1017.44
"G45 Trgovina z motornimi vozili in popravila motornih vozil","2018M12",1614.49,1048.67
"G46 Posredništvo in trgovina na debelo, razen z motornimi vozili","2014M12",1687.86,1068.03
"G46 Posredništvo in trgovina na debelo, razen z motornimi vozili","2015M12",1714.69,1080.32
"G46 Posredništvo in trgovina na debelo, razen z motornimi vozili","2016M12",1738.72,1096.47
"G46 Posredništvo in trgovina na debelo, razen z motornimi vozili","2017M12",1790.29,1138.84
"G46 Posredništvo in trgovina na debelo, razen z motornimi vozili","2018M12",1856.00,1176.11
"G47 Trgovina na drobno, razen z motornimi vozili","2014M12",1184.54,796.95
"G47 Trgovina na drobno, razen z motornimi vozili","2015M12",1202.68,806.26
"G47 Trgovina na drobno, razen z motornimi vozili","2016M12",1223.70,819.20
"G47 Trgovina na drobno, razen z motornimi vozili","2017M12",1263.22,846.12
"G47 Trgovina na drobno, razen z motornimi vozili","2018M12",1324.78,882.59
