"Povpreène meseène plaèe in indeksi povpreènih meseènih plaè po dejavnostih [SKD 2008], Slovenija, meseèno"

"SKD DEJAVNOST","Neto plaèa Plaèa za zadnjih 12 mesecev [EUR] 2014M12","Neto plaèa Plaèa za zadnjih 12 mesecev [EUR] 2015M12","Neto plaèa Plaèa za zadnjih 12 mesecev [EUR] 2016M12","Neto plaèa Plaèa za zadnjih 12 mesecev [EUR] 2017M12","Neto plaèa Plaèa za zadnjih 12 mesecev [EUR] 2018M12"
"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO",880.44,882.98,878.77,885.06,926.93
"A01 Kmetijska proizvodnja in lov ter z njima povezane storitve",833.25,830.22,829.39,846.48,886.37
"A02 Gozdarstvo",966.42,978.69,969.40,964.06,1018.23
"A03 Ribištvo in gojenje vodnih organizmov",792.47,779.59,790.11,831.96,852.32
"B RUDARSTVO",1357.15,1278.15,1311.83,1331.09,1423.64
"B05 Pridobivanje premoga",1555.03,1430.10,1476.29,1501.22,1627.29
"B06 Pridobivanje surove nafte in zemeljskega plina",-,-,-,-,-
"B07 Pridobivanje rud",z,z,z,z,z
"B08 Pridobivanje rudnin in kamnin",1046.65,1061.30,1087.03,1108.61,1178.89
"B09 Storitve za rudarstvo",1071.80,z,z,z,z
"C PREDELOVALNE DEJAVNOSTI",973.76,991.04,1009.33,1049.16,1084.93
"C10 Proizvodnja živil",829.43,828.44,839.66,870.95,909.52
"C11 Proizvodnja pijaè",1072.70,1102.70,1134.10,1198.84,1194.25
"C12 Proizvodnja tobaènih izdelkov",-,-,-,z,z
"C13 Proizvodnja tekstilij",843.18,872.87,911.05,953.07,977.92
"C14 Proizvodnja oblaèil",677.33,694.05,705.52,742.53,774.03
"C15 Proizvodnja usnja, usnjenih in sorodnih izdelkov",710.97,702.40,697.58,717.39,747.57
"C16 Obdelava in predelava lesa, proizvodnja izdelkov iz lesa, plute, slame in protja, razen pohištva",839.06,852.11,871.00,887.39,925.15
"C17 Proizvodnja papirja in izdelkov iz papirja",970.73,984.60,1016.50,1040.16,1074.61
"C18 Tiskarstvo in razmnoževanje posnetih nosilcev zapisa",918.01,924.29,932.05,960.25,985.07
"C19 Proizvodnja koksa in naftnih derivatov",1035.74,836.05,z,z,z
"C20 Proizvodnja kemikalij, kemiènih izdelkov",1120.13,1129.46,1142.11,1188.54,1218.95
"C21 Proizvodnja farmacevtskih surovin in preparatov",1821.83,1830.66,1855.31,1905.71,1958.48
"C22 Proizvodnja izdelkov iz gume in plastiènih mas",966.39,984.45,998.40,1025.63,1064.94
"C23 Proizvodnja nekovinskih mineralnih izdelkov",988.68,1009.06,1017.27,1063.46,1102.28
"C24 Proizvodnja kovin",1015.39,1049.69,1057.69,1113.18,1152.80
"C25 Proizvodnja kovinskih izdelkov, razen strojev in naprav",920.99,936.16,951.63,991.04,1021.89
"C26 Proizvodnja raèunalnikov, elektronskih in optiènih izdelkov",920.93,950.78,974.03,1077.57,1167.58
"C27 Proizvodnja elektriènih naprav",918.59,933.46,963.95,1008.60,1035.43
"C28 Proizvodnja drugih strojev in naprav",1033.05,1059.12,1083.28,1130.50,1182.95
"C29 Proizvodnja motornih vozil, prikolic in polprikolic",968.27,982.84,1008.94,1031.18,1039.06
"C30 Proizvodnja drugih vozil in plovil",1020.79,1006.13,1010.78,1037.46,1074.66
"C31 Proizvodnja pohištva",798.53,815.48,821.15,860.82,904.62
"C32 Druge raznovrstne predelovalne dejavnosti",895.14,909.55,917.23,925.08,951.00
"C33 Popravila in montaža strojev in naprav",1056.34,1089.38,1109.54,1160.56,1183.60
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO",1440.83,1438.10,1463.15,1541.52,1581.90
"D35 Oskrba z elektrièno energijo, plinom in paro",1440.83,1438.10,1463.15,1541.52,1581.90
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA",975.19,987.21,1004.53,1043.01,1069.95
"E36 Zbiranje, preèišèevanje in distribucija vode",1036.29,1048.88,1072.49,1100.04,1133.83
"E37 Ravnanje z odplakami",987.12,1003.49,1017.99,1032.42,1072.07
"E38 Zbiranje in odvoz odpadkov ter ravnanje z njimi, pridobivanje sekundarnih surovin",940.22,951.59,965.56,1016.94,1040.63
"E39 Saniranje okolja in drugo ravnanje z odpadki",876.85,864.33,867.52,824.28,834.43
"F GRADBENIŠTVO",805.14,802.59,812.91,835.13,864.41
"F41 Gradnja stavb",727.63,719.10,742.65,760.48,795.64
"F42 Gradnja inženirskih objektov",909.26,924.26,929.01,977.23,1029.82
"F43 Specializirana gradbena dela",793.17,785.11,795.44,810.34,832.21
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL",911.23,920.95,935.47,969.84,1006.36
"G45 Trgovina z motornimi vozili in popravila motornih vozil",966.12,974.28,985.22,1017.44,1048.67
"G46 Posredništvo in trgovina na debelo, razen z motornimi vozili",1068.03,1080.32,1096.47,1138.84,1176.11
"G47 Trgovina na drobno, razen z motornimi vozili",796.95,806.26,819.20,846.12,882.59
"H PROMET IN SKLADIŠÈENJE",962.66,963.24,959.88,978.47,1005.48
"H49 Kopenski promet, cevovodni transport",821.91,820.33,814.98,835.33,853.84
"H50 Vodni promet",1561.86,1566.69,1557.14,1591.89,1615.92
"H51 Zraèni promet",1712.38,1683.45,1824.39,1912.12,1950.76
"H52 Skladišèenje in spremljajoèe prometne dejavnosti",1163.51,1189.80,1213.34,1249.99,1299.38
"H53 Poštna in kurirska dejavnost",983.59,977.99,971.51,978.56,1019.06
"I GOSTINSTVO",740.62,731.45,741.47,761.60,794.66
"I55 Gostinske nastanitvene dejavnosti",842.23,838.65,852.10,872.06,906.94
"I56 Dejavnost strežbe jedi in pijaè",654.94,645.87,660.42,683.84,717.97
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI",1298.65,1310.59,1317.04,1361.47,1410.99
"J58 Založništvo",1195.52,1200.96,1198.67,1244.51,1270.26
"J59 Dejavnosti v zvezi s filmi, video- in zvoènimi zapisi",936.50,966.01,931.65,948.05,991.41
"J60 Radijska in televizijska dejavnost",1204.58,1199.69,1185.42,1217.82,1227.54
"J61 Telekomunikacijske dejavnosti",1399.64,1410.48,1426.62,1465.64,1494.05
"J62 Raèunalniško programiranje, svetovanje in druge s tem povezane dejavnosti",1341.79,1356.58,1378.20,1425.15,1496.22
"J63 Druge informacijske dejavnosti",1239.61,1223.26,1191.43,1240.79,1311.89
"K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI",1362.22,1386.88,1408.60,1471.60,1531.98
"K64 Dejavnosti finanènih storitev, razen zavarovalništva in dejavnosti pokojninskih skladov",1365.99,1397.91,1433.63,1494.69,1558.26
"K65 Dejavnosti zavarovanja, pozavarovanja in pokojninskih skladov, razen obvezne socialne varnosti",1438.20,1459.01,1465.87,1543.51,1604.85
"K66 Pomožne dejavnosti za finanène in zavarovalniške storitve",1067.65,1072.95,1064.54,1111.82,1145.15
"L POSLOVANJE Z NEPREMIÈNINAMI",972.06,964.64,970.96,993.68,1002.27
"L68 Poslovanje z nepremièninami",972.06,964.64,970.96,993.68,1002.27
"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI",1090.53,1095.77,1106.13,1156.24,1198.99
"M69 Pravne in raèunovodske dejavnosti",990.27,983.56,996.93,1029.76,1056.25
"M70 Dejavnost uprav podjetij, podjetniško in poslovno svetovanje",956.94,974.91,984.38,1065.53,1126.20
"M71 Arhitekturno in tehnièno projektiranje, tehnièno preizkušanje in analiziranje",1094.26,1088.92,1097.53,1155.16,1199.22
"M72 Znanstvena raziskovalna in razvojna dejavnost",1310.94,1321.23,1346.31,1386.52,1413.38
"M73 Oglaševanje in raziskovanje trga",1298.21,1278.52,1315.38,1325.97,1355.30
"M74 Druge strokovne in tehniène dejavnosti",821.42,871.67,856.83,899.64,935.70
"M75 Veterinarstvo",1238.77,1206.53,1216.91,1263.89,1287.84
"N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI",703.56,704.55,724.90,743.11,779.60
"N77 Dajanje v najem in zakup",819.51,827.75,854.73,908.22,942.41
"N78 Zaposlovalne dejavnosti",726.28,717.34,736.24,751.90,799.63
"N79 Dejavnost potovalnih agencij, organizatorjev potovanj in s potovanji povezanih dejavnosti",910.91,894.29,905.32,932.58,894.07
"N80 Varovanje in poizvedovalne dejavnosti",670.88,665.82,688.40,714.34,752.05
"N81 Dejavnost oskrbe stavb in okolice",609.67,607.68,610.35,619.04,646.00
"N82 Pisarniške in spremljajoèe poslovne storitvene dejavnosti",839.72,854.73,872.69,896.47,923.16
"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI",1148.68,1167.49,1215.48,1261.79,1295.86
"O84 Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",1148.68,1167.49,1215.48,1261.79,1295.86
"P IZOBRAŽEVANJE",1091.08,1086.62,1108.29,1125.58,1133.51
"P85 Izobraževanje",1091.08,1086.62,1108.29,1125.58,1133.51
"Q ZDRAVSTVO IN SOCIALNO VARSTVO",1101.04,1101.76,1130.97,1169.20,1202.32
"Q86 Zdravstvo",1218.17,1219.28,1256.37,1302.11,1337.29
"Q87 Socialno varstvo z nastanitvijo",816.21,813.60,828.21,850.87,875.93
"Q88 Socialno varstvo brez nastanitve",931.18,937.28,948.33,964.85,979.97
"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI",1066.38,1059.46,1078.55,1097.45,1113.63
"R90 Kulturne in razvedrilne dejavnosti",1068.75,1067.46,1108.32,1124.85,1129.19
"R91 Dejavnost knjižnic, arhivov, muzejev in druge kulturne dejavnosti",1070.97,1070.37,1090.58,1113.09,1128.10
"R92 Prirejanje iger na sreèo",1223.18,1213.73,1245.88,1258.51,1296.16
"R93 Športne in druge dejavnosti za prosti èas",890.48,872.29,861.58,884.12,899.56
"S DRUGE DEJAVNOSTI",906.11,888.54,883.89,895.82,906.12
"S94 Dejavnost èlanskih organizacij",1069.81,1057.74,1055.60,1066.85,1070.61
"S95 Popravila raèunalnikov in izdelkov za široko rabo",863.64,840.54,833.90,859.71,860.11
"S96 Druge storitvene dejavnosti",709.09,701.35,705.01,718.80,732.90
